"FileName","Length","Lines","SHA256","Title"
"ARCHITECTURE_OVERVIEW.md","18906","440","1efbecfe58254eedf1bd377783949e20f95d8f9cca9daf9e79068ff4adb9e945","Architecture Overview ??? Sistema de Gesti??n de Calidad (SGC-DM)"
"DEPLOYMENT_OVERVIEW.md","15188","361","4b558473448c42538b65be6069ab692a350dfb5b04f68ef1f4522d22aa1f3117","Deployment Overview ??? Sistema de Gesti??n de Calidad (SGC-DM)"
"DOCUMENTATION_INDEX.md","12746","251","33750109b32abf5d1669070c0dd8086cbfff1bdb499f8ee271525ed5ed5984fd","Documentation Index ??? Sistema de Gesti??n de Calidad (SGC-DM)"
"FEATURE_OVERVIEW.md","12981","343","096b2355175a729760217cb64e92fbe0782e4a34557a5022c6bdce19bbdd8f8f","Feature Overview ??? Sistema de Gesti??n de Calidad (SGC-DM)"
"INTERVIEW_TALKING_POINTS.md","14967","272","faddf8c3fa23b230c921ebd237f86a6e8939677865601ddd9851f2ee9b7a4207","Interview Talking Points ??? Sistema de Gesti??n de Calidad (SGC-DM)"
"PROFESSIONAL_ROADMAP.md","10992","256","1e02fa454cfe9386b322451725f82abe7f20573bc06b9490a7f771832723d5fb","Professional Roadmap ??? Sistema de Gesti??n de Calidad (SGC-DM)"
"PROJECT_STATUS.md","9630","199","00250f2367fcf1e427c672a0ac6abb4d7728a978e1e1dfb080f01e3381017cdf","Project Status ??? Sistema de Gesti??n de Calidad (SGC-DM)"
"SECURITY_OVERVIEW.md","19729","527","de31082f9421d7e9d7cdb585dc6c9c576cbf5090ac82b14f48e30caa50a884be","Security Overview ??? Sistema de Gesti??n de Calidad (SGC-DM)"
"sprint-100-universal-operational-dashboard-certification.md","5861","152","68537891db90dbdf1ed8a2698549aade2257d384dd84e89bae39993600263eaa","Sprint 100 ??? Universal Operational Dashboard & Intelligence Certification"
"sprint-101-universal-operational-lifecycle-orchestrator-certification.md","8330","180","9b034f38a769087caac8892a7d5f2821332f2ddd235ead6b02c29580326cd432","Sprint 101 ??? Universal Operational Experience Lifecycle Orchestrator Certification"
"sprint-102-dispatches-production-capability-certification.md","11467","282","95041060b5f0b8946cbddf13529d6d8d18caae0e960ce19a80de9350d9139245","Sprint 102 ??? First Operational Experience Production Certification (SSOT)"
"sprint-103-inventory-operational-experience-certification.md","10992","241","613cabf4fb715792fac2b0abd985e6e0b8ce82d9f074275319f37bc4f2d579b3","Sprint 103 ??? Inventory Operational Experience Certification (SSOT)"
"sprint-104-production-operational-experience-certification.md","9903","198","9fc2fd95e4f35e75c0e8ce70ba429cbef4e8e1da1466e2b1a2aaf261f8e7ea88","Sprint 104 ??? Production Operational Experience Certification (SSOT)"
"sprint-105-reception-operational-experience-certification.md","7633","222","6225ab7ebc6b1858bb9f05eb05e2f8f5f761b945a36968ced85fdeee9a9a6b67","Sprint 105 ??? Reception Operational Experience Certification (SSOT)"
"sprint-106-operational-capability-governance-certification.md","10695","312","ab3605db5594020b9d52a6ae9d5ca46732ef97cec953ce424fa6bb6b889c5475","Sprint 106 ??? Operational Capability Certification & Experience Governance (SSOT)"
"sprint-107-operational-business-flow-certification.md","8312","311","29512a9d26f33da3f0d5125f854d0e3b3013980e63f7c6636713e41a1864fca3","Sprint 107 ??? Operational Business Flow Certification (SSOT)"
